x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
268.7217410719022,-894.8329324349761,34.669784519635144,-137.57837082376813,2.6795733451783366,0,0,0,0,0
267.9412543892977,-895.5484589515254,34.67843890357763,-137.57931812160015,3.2042392079241693,0,2,0,0,0
267.18180391250644,-896.2463969625533,34.68185244109482,-137.62908336660212,3.6610844185399554,0,2,0,0,0
266.38715149182826,-896.9716233545914,34.715985163860026,-137.52394370416076,4.035495332329144,0,2,0,0,0
265.64073551428737,-897.6517945742235,34.72005976252258,-137.37415830684753,4.369285686230546,0,2,0,0,0
264.8426816710853,-898.3881776183844,34.71735133677721,-137.32811094409954,4.662273879793128,0,2,0,0,0
264.0660510112648,-899.1016733124852,34.72999537996948,-137.25597762982008,4.919697446206412,0,2,0,0,0
263.3344585087616,-899.7837323155254,34.73640797734261,-137.5823534784916,5.064333729391648,0,2,0,0,0
262.5758925213595,-900.4671647055075,34.74060433991254,-138.32390590119888,5.124498976535658,0,2,0,0,0
261.8034523957176,-901.142440892756,34.74982360545546,-139.79707483552502,5.135735034345415,0,2,0,0,0
261.01766876730835,-901.8004460847005,34.76157064717263,-141.78767404676594,5.095102653098324,0,2,0,0,0
260.21071132610086,-902.4156090514734,34.76523108482361,-143.80196590164948,5.037009359140866,0,2,0,0,0
259.3903212103178,-902.9928943170235,34.76322432961315,-145.91326052615202,4.988883703702937,0,2,0,0,0
258.48190803523175,-903.5951957600191,34.75652283225209,-148.5223030843413,4.909497435140606,0,2,0,0,0
257.55808872764464,-904.1372826583683,34.75888772942126,-151.23215257419753,4.819652543308471,0,2,0,0,0
256.6215094004874,-904.6262695025653,34.755556671693924,-154.55982663386683,4.75377707967036,0,2,0,0,0
255.67093019804452,-905.0503051262349,34.74394887574017,-158.31785578946696,4.678249365038065,0,2,0,0,0
254.70798179955455,-905.4040648909286,34.74338796809316,-162.3105097905916,4.618839113361973,0,2,0,0,0
253.7354911667644,-905.6841413388029,34.72727300021798,-166.35798545717384,4.551637929156328,0,2,0,0,0
252.66840534011135,-905.9069379623979,34.71891154237092,-170.97500951241128,4.491550973118575,0,2,0,0,0
251.6017221030197,-906.0459287269041,34.720175051875415,-175.79788833225513,4.416074460950719,0,2,0,0,0
250.54666635848116,-906.0854095220566,34.71252678129822,179.2296221797859,4.339066342106662,0,2,0,0,0
249.51068553701043,-906.0377349918708,34.69807488266379,173.80865053830422,4.262715279703886,0,2,0,0,0
248.50239510717802,-905.8926269812509,34.69970008712262,168.2891020223666,4.183038570744653,0,2,0,0,0
247.45455320249312,-905.6355852009729,34.703687771968546,162.00874485182996,4.071438953170077,0,2,0,0,0
246.46972039696993,-905.268865016289,34.70180558022112,155.4040853775559,3.9836514884376526,0,2,0,0,0
245.55403726012446,-904.7991161206737,34.69828923121095,148.89493916868906,3.9095795632953063,0,2,0,0,0
244.70399938971968,-904.2462303321809,34.706230618804696,142.8351329917227,3.8563384110148866,0,2,0,0,0
243.9311848707148,-903.6080331886187,34.70034345779568,137.66834542918377,3.828276558658374,0,2,0,0,0
243.15655936306575,-902.8608099576086,34.69680101964623,132.5464757839289,3.840430920010984,0,2,0,0,0
242.49282606807537,-902.1070416281,34.70859839469195,128.61397608940672,3.852104889867449,0,2,0,0,0
241.8866431049537,-901.3038622587919,34.70116186589003,125.27857562045374,3.864358940291613,0,2,0,0,0
241.31694190803682,-900.4707424473017,34.7134724508971,122.50249948649744,3.877978925352351,0,2,0,0,0
240.78940699674422,-899.6057693790644,34.71154685113579,120.41960151036528,3.893990299611882,0,2,0,0,0
240.28367300250102,-898.7232143329456,34.713231979683044,118.79350863278522,3.9057272716252758,0,2,0,0,0
239.80035885673715,-897.8286628788337,34.718684221431616,117.72848193199115,3.924025473217653,0,2,0,0,0
239.32140029250877,-896.9244055217132,34.72675369102508,117.17171755445241,3.934422434178795,0,2,0,0,0
238.86803511588369,-896.008656334132,34.73172377217561,117.09961928217173,3.937885880453862,0,2,0,0,0
238.39454745850526,-895.1017677923664,34.734390632994476,117.02909006625693,3.945059949812826,0,2,0,0,0
237.92488871439127,-894.1918861810118,34.717517181113365,117.36106479063339,3.9168286189068295,0,2,0,0,0
237.46039873739937,-893.2857028255239,34.755391974747184,118.16388739536194,3.9217765308858024,0,2,0,0,0
236.9659256353043,-892.3944677896798,34.74946793429554,119.51378799850734,3.917325397858052,0,2,0,0,0
236.45945809455588,-891.5107945175841,34.77423928380013,121.43775829989843,3.919136957885644,0,2,0,0,0
235.9141764768283,-890.6493310360238,34.78483227994293,123.37623068686462,3.9257477720813876,0,2,0,0,0
235.3463635292137,-889.7997389147058,34.794005319289866,125.11507190059844,3.931626195821567,0,3,0,0,0
234.75071348890197,-888.9677969338372,34.80475270170719,126.58168382197584,3.9407984010662256,0,3,0,0,0
234.13662263395963,-888.1533728493378,34.811481341533366,127.85939679222108,3.9033204827244496,0,3,0,0,0
233.51683270878857,-887.3657014230266,34.819660406373444,128.96093104598768,3.826765645797647,0,3,0,0,0
232.84563218633411,-886.5486816726625,34.82339823599905,129.88200299960238,3.737984709105372,0,3,0,0,0
232.18401849869406,-885.7667747763917,34.83180191256106,130.65061637753385,3.5826743629306583,0,3,0,0,0
231.50544195220573,-884.9895228045061,34.83884896039963,131.35345223706634,3.2966687896275753,0,3,0,0,0
230.81473664107034,-884.2161711556837,34.84777366630733,132.1107266211448,2.79048611014721,0,3,0,0,0
230.1177258155658,-883.4528049221262,34.850909082964066,132.09613866455337,2.236782849076858,0,3,0,0,0
229.41757290641544,-882.6985559361055,34.856555115245285,131.82517711204002,1.5862677293507825,0,3,0,0,0
228.7557822082308,-881.9477436300367,34.82424922268838,131.79880757346814,0.2676319583444603,0,1,0,0,0
228.09227568021743,-881.1988378874958,34.83337241765112,132.11377868800264,1.787231207750107,0,1,0,0,0
227.41954110370716,-880.4536224938929,34.83863813504577,132.4413083177571,2.561358955333573,0,1,0,0,0
226.7160354683292,-879.6857987875119,34.83825193047524,132.75270555946275,3.2048426536754655,0,1,0,0,0
226.00747434911318,-878.9237993117422,34.84284189511091,133.1940186959538,3.7065078314475466,0,1,0,0,0
225.31214331486262,-878.1847671242431,34.850403065606955,134.22281267464345,4.079118578470898,0,1,0,0,0
224.59073248918867,-877.4611965054646,34.851761575602,135.885078302432,4.423572506710169,0,1,0,0,0
223.85938708676258,-876.7692471006885,34.85216473024339,138.04303083542948,4.7183990578717525,0,1,0,0,0
223.05527692247415,-876.0633473275229,34.86326262429357,140.30026036176162,5.005838792150755,0,1,0,0,0
